brand,title,accords,gender,age,secondary notes
Herv-Domar,Brown Diamond Hervé Domar for women and men,"balsamic,woody,patchouli,warm spicy,aldehydic,amber",unisex,older_twenty_five,"fatty,waxy,lily,pungent,lemon"
Cerchi-Nell-Acqua,Waves Cerchi Nell’Acqua for women and men,"balsamic,woody,powdery,fresh spicy,floral",unisex,older_twenty_five,"vanilla,dry,musk,berry,violetflower"
Antonio-Alessandria,Dies Aurorae Antonio Alessandria for women and men,"balsamic,woody,sweet,nutty,warm spicy,",unisex,older_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
Selcuk-Esans,Gülzâr Pure Oil Selcuk Esans for women and men,"balsamic,woody,vanilla,rose,powdery,smoky",unisex,older_twenty_five,"dairy,dry,phenolic,almond,musk"
Boadicea-the-Victorious,Iceni Boadicea the Victorious for women and men,"balsamic,woody,warm spicy,aromatic,fresh spicy,",unisex,older_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
Ein-Gedi,Light of Jerusalem Ein Gedi for women,"balsamic,woody,warm spicy,floral,smoky,sweet,",female,older_twenty_five,"phenolic,chemical,leather,dry,vanilla"
Miller-Harris,La Fumee Alexandrie Miller Harris for women and men,"balsamic,woody,warm spicy,fresh spicy,smoky,rose,",unisex,older_twenty_five,"phenolic,chemical,leather,dry,vanilla"
Eolie-Parfums,Ventus Eolie Parfums for women and men,"balsamic,woody,white floral,citrus,musky,",unisex,older_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
La-Perla,Eclix La Perla for women,"cacao,floral,vanilla,almond,sweet,fruity,",female,older_twenty_five,"nut,powdery,dairy,coffee,caramellic"
Benetton,Gold Benetton for women,"cacao,floral,warm spicy,woody,powdery,citrus",female,older_twenty_five,"nut,vanilla,coffee,dry,honey"
House-of-Matriarch,Bittersweet Symphony House of Matriarch for women and men,"cacao,oud,sweet,warm spicy,woody",unisex,older_twenty_five,"nut,coffee,caramellic,musty,honey"
Galerie-Noemie,Expeau Galerie Noemie for women,"cacao,vanilla,musky,warm spicy,sweet,woody,",female,older_twenty_five,"nut,dairy,powdery,coffee,caramellic"
HM,Ruby Pomegranate HM for women,"caramel,citrus,woody,sweet,musky,fresh spicy,",female,older_twenty_five,"blackcurrant,anisic,dry,pungent"
Demeter-Fragrance,Caramel Demeter Fragrance for women,"caramel,sweet,caramela,gourmand",female,older_twenty_five,"meat,alliaceous,sulfuric,roasted,coffee"
Gilles-Cantuel,Arsenal Women Gilles Cantuel for women,"caramel,white floral,vanilla,sweet,woody,floral",female,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Parfums-et-Senteurs-du-Pays-Basque,At the Time of Cherries (Au Temps des Cerises) Parfums et Senteurs du Pays Basque for women and men,"cherry,sweet,tonka (coumarin),almond,fruity",unisex,older_twenty_five,"powdery,vanilla,chemical,phenolic,berry"
